,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
5998,MORGAN STANLEY & CO INC,175," 125,823",Bachelor's,60
,,,,Doctorate,D
,,,,Master's,107
6973,YALE UNIV,174," 74,247",Doctorate,133
,,,,Master's,13
,,,,Professional,28
9719,EXPERIS US INC,174," 89,227",Bachelor's,122
,,,,Master's,52
7520,NET APP INC,174," 110,834",Bachelor's,60
,,,,Doctorate,D
,,,,Master's,113
6650,CREDIT SUISSE SECURITIES USA,172," 119,502",Missing Education,D
,,,,Bachelor's,76
,,,,Doctorate,D
,,,,High School,D
,,,,Master's,90
7939,SLK AMERICA INC,171," 76,770",Bachelor's,136
,,,,Master's,35
0623,VEDICSOFT,170," 66,634",Bachelor's,60
,,,,Master's,110
6251,CIGNITI INC,164," 65,332",Bachelor's,89
,,,,Master's,75
0648,SAPIENT CORP,161," 104,251",Bachelor's,97
,,,,Doctorate,D
,,,,Master's,63
9487,AMDOCS INC,160," 95,847",Bachelor's,93
,,,,Master's,67
3454,OPTUM SERVICES INC,160," 89,436",Bachelor's,97
,,,,Master's,63
1560,AVCO CONSULTING INC,159," 70,158",Bachelor's,26
,,,,Master's,133
8068,AMAZON WEB SERVICES,158," 107,763",Bachelor's,38
,,,,Doctorate,D
,,,,Master's,116
7729,TESLA MOTORS INC,158," 104,253",Bachelor's,58
,,,,Doctorate,D
,,,,Master's,96
,,,,Professional,D
1169,TECHNOSOFT CORPORATION,157," 78,068",Bachelor's,88
,,,,Doctorate,D
,,,,Master's,68
3258,PERFICIENT INC,156," 99,881",Bachelor's,78
,,,,Master's,78
3452,3I INFOTECH INC,155," 65,263",Bachelor's,73
,,,,Master's,82
6287,MARLABS INC,155," 72,631",Bachelor's,53
,,,,Master's,102
9970,TEXAS INCORPORATED INCORPORA,155," 101,487",Associates,D
,,,,Bachelor's,29
,,,,Doctorate,10
,,,,Master's,113
1278,DALLAS INDEPENDENCE SCH DIST,155," 50,639",Bachelor's,105
,,,,Doctorate,D
,,,,Master's,46
,,,,Professional,D
9960,ERICSON INC,154," 102,142",Bachelor's,52
,,,,Doctorate,D
,,,,Master's,101
8884,ERP ANALYST INC,154," 69,000",Bachelor's,64
,,,,Master's,90
9852,ZS ASSO INC,154," 83,907",Bachelor's,121
,,,,Master's,33
8093,COLUMBIA UNIVERSITY,153," 88,054",Bachelor's,D
,,,,Doctorate,103
,,,,Master's,25
,,,,Professional,20
6833,CIBER INC,153," 94,874",Missing Education,D
,,,,Bachelor's,81
,,,,Doctorate,D
,,,,Master's,70
8004,IM FLASH TECHNOLOGIES LLC,153," 96,911",Bachelor's,28
,,,,Doctorate,21
,,,,Master's,104
6493,UCSF MED CTR,151," 74,524",Bachelor's,D
,,,,Doctorate,100
,,,,Master's,19
,,,,Professional,23
7987,CAMERON UNIV,150," 71,450",Bachelor's,D
,,,,Doctorate,88
,,,,Master's,27
,,,,Professional,27
7513,THE UNIV OF MINN,149," 60,723",Bachelor's,D
,,,,Doctorate,113
,,,,Master's,13
,,,,Professional,21
8857,ALCANTEL-LUCENT USA INC,148," 107,281",Missing Education,D
,,,,Bachelor's,67
,,,,Doctorate,D
,,,,Master's,78
9950,EPIC SYSTEMS CORP,148," 106,875",Bachelor's,40
,,,,Doctorate,D
,,,,Master's,101
1888,MOUNT SANAI MED CTR,147," 74,163",Bachelor's,14
,,,,Doctorate,61
,,,,Master's,24
,,,,Professional,48
2661,SCHLUMBERGER TECH CORP,147," 97,223",Missing Education,D
,,,,Bachelor's,41
,,,,Doctorate,21
,,,,Master's,83
,,,,Professional,D
1766,BRILLIO LLC,143," 69,060",Bachelor's,109
,,,,Master's,34
1673,UNIV PURDUE UNIV INDIANAP,143," 68,643",Bachelor's,D
,,,,Doctorate,89
,,,,Master's,29
,,,,Professional,18
6492,UNIV OF WI EAU CLAIRE,143," 61,944",Bachelor's,D
,,,,Doctorate,120
,,,,Master's,12
,,,,Professional,D
8462,RELIABLE SOFTWARE RESOURCES,143," 61,993",Bachelor's,46
,,,,Master's,97
3580,HARVARD UNIV,142," 73,759",Bachelor's,D
,,,,Doctorate,122
,,,,Master's,13
,,,,Professional,D
6083,EXPEDIA INC,142," 105,440",Bachelor's,57
,,,,Doctorate,D
,,,,Master's,84
4236,MEMORIAL SLOAN KETTERING CAN,141," 76,048",Bachelor's,13
,,,,Doctorate,72
,,,,Master's,31
,,,,Professional,25
3222,GEN MOTORS CO,141," 92,834",Bachelor's,39
,,,,Doctorate,16
,,,,Master's,83
,,,,Professional,D
,,,,Some College,D
2319,AKAMAI TECH INC,140," 106,229",Bachelor's,30
,,,,Doctorate,D
,,,,Master's,104
2123,UC BERKELEY,140," 77,741",Bachelor's,D
,,,,Doctorate,118
,,,,Master's,13
,,,,Professional,D
6960,DIS / NATIONAL INSTITUTES OF,139," 74,308",Doctorate,128
,,,,Professional,11
2052,UNIV OF FL,139," 83,728",Bachelor's,D
,,,,Doctorate,87
,,,,Master's,13
,,,,Professional,37
2528,JUNIPER NETWORKS INC,137," 122,724",Bachelor's,49
,,,,Doctorate,D
,,,,Master's,87
3424,MANHATTAN ASSO INC,135," 95,932",Missing Education,D
,,,,Bachelor's,79
,,,,Doctorate,D
,,,,Master's,54
2131,GLOBAL FOUNDRIES U S INC,134," 96,853",Bachelor's,29
,,,,Doctorate,27
,,,,Master's,77
,,,,Professional,D
2041,PURDUE UNIV,133," 73,212",Bachelor's,D
,,,,Doctorate,113
,,,,Master's,13
,,,,Professional,D
3382,MASTECH ALLIANCE INC A MASTE,132," 101,608",Bachelor's,81
,,,,Master's,51
8920,INTEL CORP,132," 109,957",Bachelor's,31
,,,,Doctorate,D
,,,,Master's,94
3776,DISCOVER PROD INC,131," 87,998",Bachelor's,12
,,,,Doctorate,13
,,,,Master's,106
0376,THE PA STATE UNIV,131," 66,967",Doctorate,125
,,,,Master's,D
5570,QUALCOMM ATHEROS INC,130," 114,783",Bachelor's,33
,,,,Doctorate,D
,,,,Master's,89
2614,THE BOSTON CONS GR INC,129," 144,737",Bachelor's,23
,,,,Doctorate,15
,,,,Master's,89
,,,,Professional,D
6236,SYNOPSYS INC,129," 113,419",Bachelor's,39
,,,,Doctorate,15
,,,,Master's,75
0183,ORACLE FINANCIAL SVCS SOFTWARE,128," 92,687",Bachelor's,94
,,,,Master's,34
3183,MEDRONIC INC,128," 89,739",Bachelor's,14
,,,,Doctorate,D
,,,,Master's,105
,,,,Professional,D
3779,TWITTER INC,127," 143,559",Bachelor's,49
