,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year.  Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy.  Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system.  Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
Employer Tax Number (Last 4 Digits),Employer Name,Total Number of Approved Petitions,Average Salary ($5),Beneficiary Degree/Diploma,
9838,INTONE NETWORKS INC,110," 73,183",Bachelor's,18
,,,,Doctorate,D
,,,,Master's,90
6144,UNIV OF CA SAN DIEGO,110," 68,477",Bachelor's,D
,,,,Doctorate,102
,,,,Master's,D
,,,,Professional,D
4179,VALUEMOMENTUM INC,109," 81,616",Bachelor's,78
,,,,Master's,31
8991,CITIGROUP TECH INC,109," 115,169",Bachelor's,65
,,,,Master's,44
9340,GE CO GE GLOBAL RESEARCH CEN,109," 113,712",Bachelor's,38
,,,,Doctorate,29
,,,,Master's,40
,,,,Professional,D
2284,BRIDGEWATER STATE UNIV,108," 63,225",Bachelor's,D
,,,,Doctorate,72
,,,,Master's,23
,,,,Professional,D
2744,CATERPILLAR INC,108," 93,222",Bachelor's,16
,,,,Doctorate,10
,,,,Master's,82
6803,DELL MARKETING L P,108," 102,641",Bachelor's,47
,,,,Doctorate,D
,,,,Master's,60
7983,GEN HOSP CORP D B A MASS GEN,107," 58,452",Bachelor's,D
,,,,Doctorate,73
,,,,Master's,21
,,,,Professional,D
7280,SIEMENS ENERGY IC,107," 88,926",Bachelor's,24
,,,,Doctorate,11
,,,,Master's,72
9427,BATTELE MEMORIAL INSTITUTE,107," 73,542",Bachelor's,D
,,,,Doctorate,87
,,,,Master's,17
7020,HENRY FOR HEALTH SYSTEM,107," 100,839",Bachelor's,20
,,,,Doctorate,D
,,,,Master's,24
,,,,Professional,54
4441,CHILDREN HOSP CORP,106," 63,910",Bachelor's,D
,,,,Doctorate,59
,,,,Master's,14
,,,,Professional,29
1086,RUTGERS THE STATE UNIV OF N,106," 76,492",Doctorate,92
,,,,Master's,12
,,,,Professional,D
4503,OBERON IT INC,106," 63,560",Bachelor's,56
,,,,Master's,50
2868,THE UNIV OF TEXAS SOUTHWESTE,105," 63,747",Bachelor's,D
,,,,Doctorate,68
,,,,Master's,19
,,,,Professional,16
5986,THE OHIO STATE UNIV,104," 72,278",Bachelor's,D
,,,,Doctorate,77
,,,,Master's,10
,,,,Professional,14
2778,YASH TECHNOLOGIES INC,104," 65,355",Bachelor's,57
,,,,Master's,47
2129,DUKE UNIV,104," 63,313",Bachelor's,D
,,,,Doctorate,78
,,,,Master's,12
,,,,Professional,D
1399,UNIV OF HOUSTON,104," 61,447",Bachelor's,D
,,,,Doctorate,80
,,,,Master's,19
,,,,Professional,D
4547,INTRAEDGE INC,104," 62,898",Bachelor's,66
,,,,Master's,38
2148,SEARS HOLDING MANAGEMENT COR,103," 98,158",Bachelor's,29
,,,,Master's,74
1881,NISUM TECHN OLOGIES INC,103," 105,845",Bachelor's,57
,,,,Master's,46
1636,THE UNIV OF TENNESSEE,102," 54,425",Doctorate,63
,,,,Master's,10
,,,,Professional,29
2798,AMERICAN AIRLINES INC,101," 93,351",Bachelor's,33
,,,,Doctorate,D
,,,,Master's,66
9853,AUTODESK INC,101," 115,725",Bachelor's,27
,,,,Doctorate,D
,,,,High School,D
,,,,Master's,69
,,,,Professional,D
8826,GENPACT LLC,100," 82,218",Bachelor's,47
,,,,Master's,52
,,,,Some College,D
6691,BLACKROCK FINANCIAL MANAGEME,99," 91,580",Bachelor's,41
,,,,Doctorate,D
,,,,Master's,57
9461,PROKARMA INC,99," 90,199",Bachelor's,61
,,,,Master's,38
7241,HSBC BANK USA N A,99," 117,340",Bachelor's,41
,,,,Doctorate,D
,,,,Master's,55
8191,CITIGROUP GLOBAL MARKETS INC,98," 132,209",Bachelor's,32
,,,,Doctorate,11
,,,,Master's,54
,,,,Professional,D
2217,TERADATA OPERATIONS INC,97," 95,823",Bachelor's,55
,,,,Doctorate,D
,,,,Master's,38
,,,,Professional,D
6796,CMC AMERICA INC,97," 69,000",Associates,D
,,,,Bachelor's,85
,,,,Master's,D
,,,,Some College,D
2689,THE UNIV OF ARIZONA,97," 82,662",Bachelor's,D
,,,,Doctorate,59
,,,,Master's,12
,,,,Professional,21
0531,TEXAS A & M UNIV,97," 70,437",Bachelor's,D
,,,,Doctorate,67
,,,,Master's,20
,,,,Professional,D
2309,NEW YORK UNIV SCH OF MEDICINE,96," 65,879",Bachelor's,D
,,,,Doctorate,55
,,,,Master's,20
,,,,Professional,13
6041,SAP AMERICA INC,96," 109,757",Bachelor's,63
,,,,Doctorate,D
,,,,Master's,31
6847,MICRACLE SOFTWARE SYSTEMS IN,96," 83,519",Bachelor's,48
,,,,Master's,48
6480,CFA INSTITUTE,96," 37,621",Bachelor's,32
,,,,Doctorate,D
,,,,Master's,60
8221,HP ENTERPRISE SERVICES LLC,96," 97,541",Bachelor's,48
,,,,Doctorate,D
,,,,Master's,47
1118,THE UNIV OF TEX MD ANDERSON,95," 61,838",Bachelor's,D
,,,,Doctorate,63
,,,,Master's,13
,,,,Professional,17
0971,ADITI TECHNOLOGIES PRIVATE LT,95," 83,068",Bachelor's,61
,,,,Master's,34
6067,FIDELITY INVESTMENTS,94," 89,140",Bachelor's,45
,,,,Master's,49
5579,COLLABORATE SOLUTIONS INC,94," 69,285",Bachelor's,15
,,,,Master's,79
4235,BALTIMORE CITY PUBLIC SCH,94," 79,380",Bachelor's,37
,,,,Doctorate,D
,,,,Master's,48
3878,BAYLOR COLLEGE OF MED,94," 72,153",Bachelor's,D
,,,,Doctorate,48
,,,,Master's,22
,,,,Professional,23
7272,NETFLIX INC,94," 262,283",Associates,D
,,,,Bachelor's,23
,,,,Doctorate,D
,,,,Master's,61
,,,,Some College,D
3307,CA INST OF TECH,94," 66,624",Missing Education,D
,,,,Bachelor's,D
,,,,Doctorate,85
,,,,Master's,D
3594,MA INST OF TECH,93," 65,036",Doctorate,91
,,,,Master's,D
6614,FIRST TEK INC,93," 66,071",Bachelor's,27
,,,,Master's,66
3295,GROUPON INC,93," 125,736",Bachelor's,33
,,,,Doctorate,D
,,,,Master's,56
6822,VANDERBILT UNIV,93," 65,434",Bachelor's,D
,,,,Doctorate,45
,,,,Master's,20
,,,,Professional,22
4228,MUFG UNION BANK N A,93," 115,904",Missing Education,D
,,,,Bachelor's,44
,,,,Doctorate,D
,,,,Master's,43
5984,MICHIGAN STATE UNIV,92," 65,423",Bachelor's,D
,,,,Doctorate,59
,,,,Master's,24
,,,,Professional,D
4034,RITE AID CORP,91," 93,218",Bachelor's,56
,,,,Doctorate,D
,,,,Master's,25
,,,,Professional,D
9359,RACKSPACE US INC,91," 97,481",Associates,D
,,,,Bachelor's,22
,,,,Doctorate,D
,,,,Master's,66
2622,TEXAS TECH UNIV,91," 96,432",Bachelor's,D
,,,,Doctorate,43
,,,,Master's,17
,,,,Professional,24
6127,STAPLES INC,90," 100,142",Bachelor's,35
,,,,Master's,55
5578,AGREEYA SOLNS INC,90," 87,182",Bachelor's,61
,,,,Master's,29
0941,ISYNC SOLUTIONS INC,90," 64,740",Bachelor's,33
,,,,Master's,57
6696,ARIZONA STATE UNIV,90," 68,304",Bachelor's,D
,,,,Doctorate,71
,,,,Master's,18
3796,ASTIR IT SOLUTIONS INC,88," 67,355",Bachelor's,31
,,,,Master's,57
6210,ZYLOG SYSS LIMITED D/B/A ZSL,88," 62,870",Bachelor's,54
,,,,Doctorate,D
,,,,Master's,33
0053,NESS USA INC,88," 87,925",Bachelor's,49
,,,,High School,D
,,,,Master's,38
4224,IA STATE UNIV OF SCIENCE & T,88," 60,950",Bachelor's,D
,,,,Doctorate,75
,,,,Master's,D
,,,,Professional,D
5245,HARMONY PUBLIC SCHOOL,88," 44,984",Bachelor's,70
,,,,Master's,18
8231,CADENCE DESIGN SYSTEMS INC,88," 124,207",Bachelor's,25
,,,,Doctorate,12
,,,,Master's,51
7090,SMARTPLAY INC,87," 108,393",Bachelor's,55
,,,,Master's,32
4085,ALTAIR PROCDUCTDESIGN INC,87," 71,173",Bachelor's,17
,,,,Doctorate,D
,,,,Master's,67
2655,AT & T SVCS INC,87," 110,104",Bachelor's,35
,,,,Doctorate,D
,,,,Master's,45
3189,ETOUCH SYSTEMS CORP,87," 97,467",Bachelor's,58
,,,,Master's,29
1796,UNIV OF VA,86," 60,929",Bachelor's,D
,,,,Doctorate,53
,,,,Master's,17
,,,,Professional,12
0203,THE UNIV OF TEXAS AT AUSTIN,86," 61,218",Bachelor's,D
,,,,Doctorate,68
,,,,Master's,11
,,,,Professional,D
0525,THE UNIV OF UTAH,86," 70,067",Bachelor's,D
,,,,Doctorate,46
,,,,Master's,22
,,,,Professional,14
0828,DEUTSCHE BANK SECURITIES INC,85," 134,263",Missing Education,D
,,,,Bachelor's,39
,,,,Doctorate,D
,,,,Master's,41
7185,DIASPARK INC,85," 66,128",Bachelor's,57
,,,,Master's,28
8072,LOWE'S COMPANIES INC,85," 93,917",Missing Education,D
,,,,Bachelor's,50
,,,,Master's,33
,,,,Professional,D
5717,HOWARD HUGHES MED INST,85," 55,418",Bachelor's,D
,,,,Doctorate,82
,,,,Master's,D
2300,ADVANCED MICRO DEVICES INC,85," 115,970",Bachelor's,11
,,,,Doctorate,12
,,,,Master's,62
4621,EXILANT TECH PRIVATE LIMITED,85," 93,612",Bachelor's,65
,,,,Master's,20
6195,SERVICENOW INC,84," 110,335",Bachelor's,22
,,,,Doctorate,D
,,,,Master's,61
7296,MCKESSON CORP,84," 104,496",Bachelor's,40
,,,,Master's,44
3498,ADS ALLIANCE DATA SYSS INC,83," 97,908",Bachelor's,29
,,,,Doctorate,D
,,,,Master's,49
7419,GOLDMAN SACHS SERVICES LLC,83," 110,954",Bachelor's,28
,,,,Master's,55
8017,FEDEX CORPORATE SERVICES INC,83," 80,401",Bachelor's,17
,,,,Doctorate,D
,,,,Master's,61
8573,ENGINEERING TECH ASSO INC,82," 61,732",Bachelor's,38
,,,,Master's,44
1805,VA POLYTECHNIC INST & STATE,82," 63,109",Doctorate,69
,,,,Master's,12
,,,,Professional,D
4458,UNIV OF MIAMI,82," 107,419",Bachelor's,D
,,,,Doctorate,50
,,,,Master's,13
,,,,Professional,17
3319,VIRGO INC,82," 65,256",Bachelor's,28
,,,,Master's,54
0195,PALO ALTO NETWORKS INC,81," 113,883",Bachelor's,26
,,,,Doctorate,D
,,,,Master's,51
4423,PROFICIENCY BUSINESS SYSTEMS,81," 67,843",Bachelor's,45
,,,,Master's,36
2326,SRS CONSULTING INC,81," 91,561",Bachelor's,53
,,,,Master's,28
0756,N CAROLINA STATE UNIV,81," 58,330",Bachelor's,D
,,,,Doctorate,61
,,,,Master's,10
,,,,Professional,D
7627,SMARTSOFT INTERNATIONAL INC,81," 60,990",Bachelor's,58
,,,,Master's,23
4541,NIKE INC,81," 110,050",Bachelor's,38
,,,,Doctorate,D
,,,,High School,D
,,,,Master's,40
7598,GILEAD SCIENCE INC,81," 107,033",Bachelor's,17
,,,,Doctorate,15
,,,,Master's,49
6378,MASTERCARD INTERNATIONAL INC,81," 102,578",Bachelor's,41
,,,,Doctorate,D
,,,,Master's,38
8235,UT BALLELLE LLC ORNL,80," 82,028",Missing Education,D
,,,,Bachelor's,D
,,,,Doctorate,73
,,,,Master's,D
6242,UNIV OF AR FOR MED SCIENCES,80," 91,074",Bachelor's,D
,,,,Doctorate,18
,,,,Master's,D
,,,,Professional,52
2344,CAREMARK LLC,80," 94,845",Bachelor's,45
,,,,Doctorate,D
,,,,Master's,34
0776,AMGEN INC,80," 107,577",Bachelor's,D
,,,,Doctorate,18
,,,,Master's,51
,,,,Professional,D
2796,STRATEGIC RESOURCES INTERNAT,79," 59,811",Bachelor's,13
,,,,Doctorate,D
,,,,Master's,65
8992,CASE WESTERN RESERVE UNIV,79," 49,274",Bachelor's,D
,,,,Doctorate,60
,,,,Master's,12
,,,,Professional,D
0005,SPRINT CORP,79," 91,996",Bachelor's,21
,,,,Doctorate,D
,,,,Master's,57
8140,GEOMETRIC AMERICAS INC,78," 70,594",Bachelor's,50
,,,,Master's,28
9461,XAVIENT INFO SYSTEMS,78," 78,563",Bachelor's,47
,,,,Master's,31
0626,CVS PHARMACY INC,78," 103,827",Missing Education,D
,,,,Bachelor's,40
,,,,Doctorate,D
,,,,Master's,35
,,,,Professional,D
8315,PYRAMID TECH SOLUTIONS INC,78," 68,290",Bachelor's,45
,,,,Master's,33
7251,QUALITY MATRIX INC,77," 70,271",Bachelor's,24
,,,,Master's,53
8943,MULTIVISION,77," 68,650",Bachelor's,45
,,,,Master's,32
7565,HERITAGE CARE INC,77," 72,443",Bachelor's,72
,,,,Master's,D
,,,,No Diploma,D
,,,,Professional,D
4191,BRONX LEBANON HOSP CENTER,76," 82,014",Missing Education,D
,,,,Bachelor's,D
,,,,Doctorate,D
,,,,Master's,D
,,,,Professional,72
4501,THE TRUSTEES OF PRINCETON UN,76," 66,867",Bachelor's,D
,,,,Doctorate,71
,,,,Master's,D
3525,COLLABERA INC,76," 61,446",Associates,D
,,,,Bachelor's,38
,,,,Master's,37
1556,LOGIC PLANET INC,76," 71,358",Bachelor's,27
,,,,Master's,49
2098,CLIENT NETWORKS SERVICES INC,76," 90,760",Bachelor's,32
,,,,Master's,44
1218,THE UNIV OF KENTUCKY,76," 87,471",Bachelor's,D
,,,,Doctorate,54
,,,,Master's,D
,,,,Professional,16
6476,EXISERVICE COM LLC,76," 91,261",Bachelor's,44
,,,,Master's,31
,,,,Professional,D
7445,STATE ST BANK AND TRUST COMP,75," 106,912",Bachelor's,22
,,,,Doctorate,D
,,,,Master's,47
,,,,Professional,D
2308,NEW YORK UNIV,75," 104,314",Bachelor's,D
,,,,Doctorate,63
,,,,Master's,D
,,,,Professional,D
9723,ITC INFOTECH (USA) INC,75," 75,895",Bachelor's,51
,,,,Master's,24
2889,CELLCO PARTNERSHIP / DBA VER,75," 104,711",Bachelor's,35
,,,,Master's,40
3809,DOTCOM TEAM INC,75," 83,423",Bachelor's,40
,,,,Master's,35
2909,BRIGHAM & WOMEN HOSPITAL,74," 64,661",Bachelor's,D
,,,,Doctorate,39
,,,,Master's,D
,,,,Professional,20
8787,YASH & LUJAN CONSULTING INC,74," 78,818",Bachelor's,50
,,,,Master's,24
0854,INFOSYS BPO LIMITED,74," 71,858",Bachelor's,46
,,,,Master's,26
,,,,Professional,D
7172,TAVANT TECHNOLOGIES INC,74," 82,248",Bachelor's,58
,,,,Master's,16
7393,WELLS FARGO BANK  N A,73," 131,579",Bachelor's,23
,,,,Doctorate,18
,,,,Master's,32
7434,CA INC (INDUSTRY NAME CA TEC,72," 111,676",Bachelor's,40
,,,,Master's,32
6283,ORPINE INC,72," 62,547",Bachelor's,32
,,,,Master's,40
0350,BRISTOL MEYERS SQUIBB CO,72," 104,022",Bachelor's,D
,,,,Doctorate,30
,,,,Master's,34
,,,,Professional,D
8666,CARDINAL HEALTH INC,72," 93,364",Bachelor's,27
,,,,Doctorate,D
,,,,Master's,43
9591,ORION SYS INTEGRATORS DELAWARE,72," 95,771",Bachelor's,37
,,,,Master's,35
3994,NIC INFO TEK INC,72," 61,257",Bachelor's,D
,,,,Master's,66
9727,TIBCO SOFTWARE INC,72," 103,080",Bachelor's,39
,,,,Master's,33
5987,SEAGATE US LLC,72," 103,746",Bachelor's,17
,,,,Doctorate,18
,,,,Master's,37
4797,LAM RESEARCH CORP,72," 105,673",Bachelor's,17
,,,,Doctorate,35
,,,,Master's,20
1829,MOODY S ANALYTICS,71," 107,568",Missing Education,D
,,,,Bachelor's,10
,,,,Doctorate,D
,,,,Master's,58
0527,NCS PEARSON INC,71," 89,866",Bachelor's,17
,,,,Doctorate,D
,,,,Master's,51
5361,USM BUSINESS SYSTEMS INC,71," 72,989",Bachelor's,16
,,,,Master's,55
3915,BROOKHAVEN NAL LABORATORY,70," 85,047",Bachelor's,D
,,,,Doctorate,62
,,,,Master's,D
3469,CYMA SYSTEMS INC,70," 72,616",Bachelor's,13
,,,,Master's,56
,,,,Some College,D
1647,CYBER THINK INC,70," 70,160",Bachelor's,35
,,,,Master's,35
3227,LEAD IT CORP,70," 68,451",Bachelor's,D
,,,,Master's,61
2086,ASPIRE SYSTEMS INC,70," 79,887",Bachelor's,37
,,,,Master's,33
0778,SAMSUNG INFO SYS AMERICA INC,70," 127,582",Bachelor's,17
,,,,Doctorate,18
,,,,Master's,35
4069,BECHTEL OIL GAR AND CHEMICAL,69," 104,065",Bachelor's,29
,,,,Doctorate,D
,,,,Master's,39
2542,SAP LAB LLC,69," 107,403",Bachelor's,30
,,,,Master's,39
9449,CARNEGIE MELLON UNIV,69," 72,786",Bachelor's,D
,,,,Doctorate,52
,,,,Master's,14
9123,UNIV OF NE LINCOLN,69," 54,879",Bachelor's,D
,,,,Doctorate,46
,,,,Master's,D
,,,,Professional,D
0875,XORIANT CORP,69," 87,855",Bachelor's,37
,,,,Master's,32
6887,SLALOM LLC,69," 113,085",Bachelor's,28
,,,,Master's,41
7231,THE GAP INC,69," 119,522",Bachelor's,37
,,,,Doctorate,D
,,,,Master's,31
1347,CA ST UNIV BAKERSFIELD,69," 72,855",Bachelor's,D
,,,,Doctorate,57
,,,,Master's,11
5291,ATOS IT SOLN AND SERVICES IN,68," 81,297",Bachelor's,52
,,,,Master's,16
2250,AMERICAN EXPRESS COMPANY,68," 109,632",Bachelor's,11
,,,,Doctorate,D
,,,,Master's,51
0684,SAGITEC SOLUTIONS,68," 85,580",Bachelor's,43
,,,,Master's,25
3666,EZ2 TECHNOLOGIES INC,68," 70,600",Bachelor's,23
,,,,Master's,45
3661,CITICORP CREDIT SERVICES INC,68," 101,447",Bachelor's,26
,,,,Master's,42
0153,TRW AUTOMOTIVE INC,68," 85,248",Bachelor's,23
,,,,Master's,45
1694,VISA U S A INC,68," 124,342",Bachelor's,19
,,,,Doctorate,D
,,,,Master's,46
9097,ARUBA NETWORKS INC,67," 131,715",Bachelor's,22
,,,,Doctorate,D
,,,,Master's,44
1153,SAMSUNG ELECTRONICS AMERICA,67," 103,158",Bachelor's,18
,,,,Doctorate,D
,,,,Master's,46
0193,DEUTSCHE BANK NEW YORK BRANCH,67," 125,142",Bachelor's,27
,,,,Doctorate,D
,,,,Master's,34
,,,,Professional,D
1955,SONATA SOFTWARE N AMERICA IN,67," 71,662",Bachelor's,49
,,,,Master's,18
1280,HALLIBURTON ENERGY SERVICES,67," 102,369",Bachelor's,24
,,,,Doctorate,18
,,,,Master's,25
9614,RAPIDIT INC,66," 76,003",Bachelor's,24
,,,,Master's,42
3547,MAGELLAN JETS LLC,66," 80,803",Bachelor's,D
,,,,Doctorate,43
,,,,Master's,D
,,,,Professional,14
2821,GSS INFOTECH CT INC,66," 70,193",Bachelor's,33
,,,,Master's,33
8768,IT AMERICA INC,66," 64,162",Bachelor's,16
,,,,Master's,50
6880,NICIRA INC,66," 129,194",Bachelor's,12
,,,,Doctorate,D
,,,,Master's,52
6789,GLOBALLOGIC IN,66," 95,437",Bachelor's,40
,,,,Master's,26
6012,ST JUDE CHILDREN S RESEARCH,66," 60,313",Bachelor's,D
,,,,Doctorate,48
,,,,Master's,11
,,,,Professional,D
8987,NATIONAL OILWELL VARCO L P,66," 81,892",Bachelor's,22
,,,,Doctorate,D
,,,,Master's,42
4701,AVANT SYSTEMS INC,66," 59,201",Bachelor's,22
,,,,Master's,44
3065,ICONSOFT INC,65," 88,554",Bachelor's,23
,,,,Master's,42
5001,HLTH & HOSP CORP KINGS COUNT,65," 65,903",Doctorate,D
,,,,Master's,D
,,,,Professional,63
6104,EPAM SYSTEMS INC,65," 95,805",Bachelor's,10
,,,,Master's,55
4575,ESURANCE INSUR SVCS INC,65," 102,589",Bachelor's,33
,,,,Master's,32
1428,AIRBNB INC,65," 149,991",Bachelor's,21
,,,,Doctorate,D
,,,,Master's,37
,,,,Professional,D
7214,ADP TECH SVCS INC,65," 114,574",Missing Education,D
,,,,Bachelor's,37
,,,,Master's,27
4475,ELITE IT SOLUTIONS INC,65," 64,173",Bachelor's,20
,,,,Master's,45
2023,GA INST OF TECH,65," 71,158",Missing Education,D
,,,,Bachelor's,D
,,,,Doctorate,62
,,,,Master's,D
0848,LA STATE UNIV INTL SRVCS OF,65," 64,190",Bachelor's,D
,,,,Doctorate,49
,,,,Master's,D
,,,,Professional,D
5576,AIG PC GLOBAL SERVICE INC,65," 98,257",Bachelor's,24
,,,,Doctorate,D
,,,,Master's,40
7624,GENENTECH INC,65," 108,508",Bachelor's,13
,,,,Doctorate,D
,,,,Master's,44
,,,,Professional,D
0114,MONTEFIORE MED CTR,64," 87,195",Bachelor's,D
,,,,Master's,D
,,,,Professional,58
3313,EBAY ENTERPRISE INC,64," 108,070",Bachelor's,30
,,,,Master's,34
1071,CIGNA HEALTH & LIFE INS CO,64," 102,319",Bachelor's,33
,,,,Master's,31
7484,BILINGUALS INC ACHIEVE BEYON,63," 59,430",Master's,63
8361,RESEARCH FDN FOR S U N Y,63," 52,955",Bachelor's,D
,,,,Doctorate,42
,,,,Master's,D
,,,,Professional,10
1077,EVEREST CONSULTING CORP INC,63," 79,667",Bachelor's,33
,,,,Master's,30
6960,PHOTON INFOTECD.COM,63," 77,383",Bachelor's,44
,,,,Master's,19
1588,R S SOFTWARE INDIA LTD,63," 71,930",Bachelor's,52
,,,,Master's,11
8214,PRICEWATERHOUSECOOPERS ADVIS,63," 124,766",Bachelor's,19
,,,,Master's,44
7970,BARCLAYS BANK DELAWARE,63," 102,610",Bachelor's,20
,,,,Master's,43
5440,BANK OF THE WEST,63," 109,341",Bachelor's,22
,,,,Doctorate,D
,,,,Master's,38
3978,WEILL CORNELL MED COLLEGE,62," 60,362",Bachelor's,D
,,,,Doctorate,43
,,,,Master's,D
,,,,Professional,D
1381,DATA INC,62," 98,223",Bachelor's,42
,,,,Master's,20
5205,MICROEXCEL INC,62," 77,132",Bachelor's,35
,,,,Master's,27
6936,VIRTUE GROUP LLC,62," 62,217",Bachelor's,19
,,,,Master's,43
3319,HOME DEPOT USA INC,62," 115,538",Bachelor's,27
,,,,Doctorate,D
,,,,Master's,34
2045,TECH DEMOCRACY LLC,62," 72,918",Missing Education,D
,,,,Bachelor's,21
,,,,Master's,40
7995,BAKER HUGHES INCORPORATED,62," 96,944",Bachelor's,12
,,,,Doctorate,19
,,,,Master's,31
3439,FIDELITY INVESTMENTS,61," 88,799",Bachelor's,28
,,,,Master's,33
3567,NATIONAL FINANCIAL LLC D/B/A,61," 88,560",Bachelor's,30
,,,,Doctorate,D
,,,,Master's,30
9115,PHIILIPS ELECTRONICS NA CORP,61," 101,843",Bachelor's,17
,,,,Doctorate,D
,,,,Master's,39
3890,CUMMINS EMISSION SOLUTIONS I,61," 85,824",Bachelor's,D
,,,,Doctorate,D
,,,,Master's,47
0707,SOFTWARE PARADIGMS INGL GROUP,61," 75,989",Bachelor's,46
,,,,Master's,15
3320,CW PRO SERVICES DBA LOCHBRID,61," 86,325",Bachelor's,27
,,,,Master's,34
1255,HOUSTON INDEPENDENT SCH DIST,61," 50,254",Bachelor's,39
,,,,Doctorate,D
,,,,Master's,20
,,,,Professional,D
2358,DELASOFT INC,60," 75,515",Bachelor's,24
,,,,Master's,36
1917,CVC/PHARMACY,60," 105,513",Bachelor's,20
,,,,Doctorate,D
,,,,Master's,17
,,,,Professional,22
6927,CNET GLOBAL SOLUTIONS INC,60," 69,088",Bachelor's,16
,,,,Master's,44
4123,TECHDATA SERVICE CO LLC,60," 73,626",Bachelor's,D
,,,,Doctorate,D
,,,,Master's,56
8233,MOTOROLA MOBILITY LLC,60," 102,500",Bachelor's,26
,,,,Doctorate,D
,,,,Master's,32
1352,MACYS COM INC,60," 128,026",Bachelor's,39
,,,,Master's,21
8188,UNIV OF NOTRE DAME DU LAC,60," 71,909",Bachelor's,D
,,,,Doctorate,46
,,,,Master's,12
4572,INFO CONTROL CO LLC,60," 89,350",Bachelor's,40
,,,,Master's,20
1233,NEBRASKA DEPT OF EDUCATION,60," 62,635",Bachelor's,D
,,,,Doctorate,25
,,,,Master's,10
,,,,Professional,24
5517,NOKIA SOLN & NETWORKS US LLC,60," 85,580",Associates,D
,,,,Bachelor's,30
,,,,Doctorate,D
,,,,Master's,26
,,,,Professional,D
,,,,Some College,D
7538,HUMANA INC,60," 99,060",Bachelor's,28
,,,,Doctorate,D
,,,,Master's,31
0773,INFOGAIN CORP,60," 94,202",Bachelor's,40
,,,,Master's,20
6109,OR HEALTH & SCIENCE UNIV,60," 73,552",Bachelor's,D
,,,,Doctorate,33
,,,,Master's,D
,,,,Professional,19
7553,BP AMERICA INC,60," 149,788",Bachelor's,15
,,,,Doctorate,21
,,,,Master's,24
2547,FACTSET RESEARCH SYSTEMS INC,59," 99,883",Bachelor's,D
,,,,Doctorate,D
,,,,Master's,49
5971,TEMPLE UNIV,59," 68,420",Bachelor's,D
,,,,Doctorate,49
,,,,Master's,D
,,,,Professional,D
9296,RJT COMPUQUEST INC,59," 68,678",Bachelor's,29
,,,,Master's,30
9888,JUNIPER NETWORKS US INC,59," 119,292",Missing Education,D
,,,,Bachelor's,19
,,,,Master's,39
4307,F5 NETWORKS INC,59," 120,015",Bachelor's,22
,,,,Master's,37
9119,MAXIMA CONSULTING INC,58," 67,271",Bachelor's,41
,,,,Master's,17
9231,QUALCOMM INNOVATION CENTER I,58," 111,865",Bachelor's,27
,,,,Doctorate,D
,,,,Master's,30
6292,QUALITY SOFTWARE SERVICES IN,58," 92,036",Bachelor's,17
,,,,Master's,41
5628,NAGARRO INC,58," 73,776",Bachelor's,44
,,,,Master's,14
3017,SAS INST INC,58," 96,972",Bachelor's,10
,,,,Doctorate,14
,,,,Master's,33
,,,,Professional,D
4624,QUADRANT 4 SYS CORP,58," 72,012",Bachelor's,26
,,,,Master's,32
8229,R SYSTEM INC,58," 76,062",Bachelor's,44
,,,,Master's,14
5596,SAMSUNG SEMICONDUCTOR INC,58," 130,780",Bachelor's,19
,,,,Doctorate,12
,,,,Master's,27
5565,PEOPLE TCH GROUP INC,57," 74,789",Bachelor's,31
,,,,Master's,26
5938,I28 TECH CORP,57," 61,930",Bachelor's,26
,,,,Master's,31
3680,IDEXCEL INC,57," 83,064",Bachelor's,25
,,,,Master's,32
1998,THE UNIV OF GA OIE,57," 55,830",Doctorate,45
,,,,Master's,11
,,,,Professional,D
8477,UCHICAGO ARGONNE LLC,57," 79,505",Doctorate,54
,,,,Master's,D
0290,DELOITTE TRANSACTION & BUS A,57," 86,999",Bachelor's,14
,,,,High School,D
,,,,Master's,41
,,,,Professional,D
6408,SCHWEITZER ENGINEERING LABOR,57," 76,948",Bachelor's,10
,,,,Master's,47
3217,SRIVEN SYSTEMS INC,56," 69,357",Bachelor's,15
,,,,Master's,41
0702,THOMAS REUTERS ( MARKETS) LL,56," 106,537",Bachelor's,29
,,,,Doctorate,D
,,,,Master's,26
7100,NATIONWIDE INSUR,56," 82,111",Bachelor's,19
,,,,Doctorate,D
,,,,Master's,34
0989,UNIV OF CINCINNATI,56," 72,624",Bachelor's,D
,,,,Doctorate,41
,,,,Master's,D
,,,,Professional,D
8019,CITADEL LLC,56," 145,134",Bachelor's,23
,,,,Doctorate,D
,,,,Master's,26
