"Approved H-2B Cap-Subject Beneficiaries by Employer Fiscal Year 2017


",,,,
"Source: USCIS, data as of October 31, 2017.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D. A dash represents zero. Employers without tax identification numbers in our system were excluded. While some company names may appear multiple times, USCIS enters data as listed on the petition and does not combine companies, even where the names are the same, because in all cases the employer tax identification numbers are different on the petition.",,,,
Employer Tax Number (Last 4 Digits),Employer Name,Number of Beneficiaries under the Regular Cap,Number of Beneficiaries under the Supplemental Cap,Total Number of Beneficiaries under the Cap
6604,A&N LAWN SERVICE INC,16,-,16
4252,SUBURBAN LANDSCARE LLC,-,16,16
8797,EVANOVICH INC,16,-,16
9840,LEE HIGHWAY NURSERY LLC,16,-,16
5460,LOUIS & CLAIRE CONCESSIONS LLC,16,-,16
3826,JYS TOTAL LAWN CARE INC,16,-,16
7758,M & M LAWN AND IRRIGATION LLC,16,-,16
9636,AMERICAN CONSTRUCTION GRP LLC,16,-,16
8953,PENNINGTON LAWN & LANDSCAPE LLC,16,-,16
8319,Z&J LODGING LLC DBA HOLIDAY INN EX,16,-,16
2231,M&M LAWN SERVICE INC,16,-,16
9747,T & T LAWN CARE LLC,16,-,16
9605,IANIRO LANDSCAPING INC DBA IANIRO,16,-,16
7641,THE FEB COMPANIES LLC,-,16,16
7136,JOSE G MARTINEZ LANDSCAPING,16,-,16
8576,THOUSAND HILLS MGMT CO INC,-,16,16
7682,SWIFT STRAW II LLC,16,-,16
2872,PENINSULA LANDSCAPING INC,16,-,16
6493,TOPEKA LANDSCAPE INC,16,-,16
904,MARRIOTT OWNERSHIP RESORTS INC DBA,-,16,16
6473,JD LAWN SERVICES INC,16,-,16
5378,BOB JACKSON LANDSCAPES INC,16,-,16
1192,KINGSTOWNE LAWN CARE INC DBA KINGS,16,-,16
9545,GRASS ROOTS LAWN & LANDSCAPE INC,16,-,16
1262,BIAFORE LANDSCAPE DEVELOPEMENT,16,-,16
2224,NORTH CAROLINA TURF CARE CORP,16,-,16
9494,DARIOS LANDSCAPING AND MASONRY INC,16,-,16
1434,PROFESSIONAL LAWN SPRINKLERS INC,16,-,16
3214,S J ENTERTAINMENT INC,16,-,16
8237,LOD LTD DBA LAWNSCAPE OF DALLAS,16,-,16
7384,SHANES LAWN MAINTENANCE INC,16,-,16
6583,MUSTANG FORESTRY LLC,16,-,16
4119,TRAPPER CORP DBA THE LEXINGTON AT,16,-,16
750,TRIMONT LAND CO DBA NORTHSTAR CALI,16,-,16
9514,THE OAKS CORP DBA THE OAKS CLUB,16,-,16
9504,LCW AUTOMOTIVE,16,-,16
5023,SEASONAL LABOR SOLUTIONS LTD,16,-,16
1472,BOYD RACING LLC DBA DELTA DOWNS RA,16,-,16
4599,BREEZY POINT INTL INC D/B/A BREEZY,-,15,15
5767,GERALD OTTERBACHER DBA GLO CONCESS,-,15,15
3388,CONTINENTAL HARDSCAPE SYSTEMS LLC,15,-,15
9755,S & S CONCRETE FLOORS INC,15,-,15
2807,ALLSTONE CORPORATION,-,15,15
8185,LOPEZ CONCESSIONS,15,-,15
1184,ELITE IRRIGATION SERVICES LLC,15,-,15
5343,WESTHAMPTON COUNTRY CLUB,15,-,15
6378,BRUCE N LEVINE TRAINING STABLE INC,15,-,15
6234,QUAKER RIDGE GOLF CLUB INC,15,-,15
6708,LARCHMONT NURSERIES INC,15,-,15
3953,ASCAPE LANDSCAPING & CONSTRUCTION,15,-,15
1310,NEW DIMENSIONS OUTDOOR SVCS INC,-,15,15
2777,PELTIER LAWN SERVICE INC,15,-,15
1754,MAD JAX AMUSEMENTS INC D/B/A MIDWE,-,15,15
7769,PICTURE PERFECT LAWNS INC,15,-,15
3866,GREENVIEW LAWNS INC,15,-,15
4555,KYLE S LAWN & LANDSCAPE SVC LLC,15,-,15
4675,JUAN D MALDONADO ENTERPRISE CORP D,15,-,15
399,ROMERO CONSTRUCTION INC,15,-,15
5829,RUSH CREEK GOLF CLUB LLC,15,-,15
5771,DOCTOR S AT THE LAKE INC,-,15,15
6740,AMBERSCAPES INC DBA RL SHELLEYS LA,15,-,15
9915,MOUNTAIN LION MASONRY,15,-,15
2494,IJN INC DBA BETHS BARRICADES,15,-,15
6174,DELANEY CONCRETE CONSTRUCTION CO I,15,-,15
7874,HANSON ENTERPRISES LLC,15,-,15
4271,SKYVIEW LANDSCAPES INC,15,-,15
4843,INTEGRITY LAWN SERVICE LLC,15,-,15
5964,ARKOMA ENTERPRISE INC DBA ROCKLAHO,15,-,15
3510,JT FRAMING,-,15,15
9365,A&A LAWNCARE AND LANDSCAPING INC,15,-,15
57,AMIGO AZTECA LANDSCAPING INC,15,-,15
7194,CAMERONS INC,15,-,15
582,SIGNATURE LAND DESIGN LLC,15,-,15
9623,EVERGREEN NURSERY LLC DBA MCMURRAY,15,-,15
6429,LAND CARE SOLUTIONS LLC,15,-,15
6304,KESTEN POURED WALL INC,15,-,15
1658,BAY VIEW RESORT LLC,15,-,15
5637,DECORATIVE ENTERPRISES INC,15,-,15
9723,COX PRO LANDSCAPE SVCS LLC,15,-,15
8406,PALMETTO GREEN LANDSCAPE & DESIGN,15,-,15
5589,MATTHEWS LANDSCAPE LLC,15,-,15
7856,PARADISE RESORT,15,-,15
9229,CURBY S LAWN & GARDEN LLC,15,-,15
2551,LAKELAND LAWN & LANDSCAPING CO INC,15,-,15
1509,MONTVALE LANDSCAPING INC,15,-,15
7621,COUNTRY GREEN LANDSCAPE INC,15,-,15
2278,POPSY POP LLC,15,-,15
9991,DOWN TO EARTH LANDSCAPING INC,15,-,15
6500,ACERO PRECISION,-,15,15
7172,EG RALL JR LANDSCAPE DESIGN,15,-,15
3862,ISAACS MOVING AND STORAGE INC,15,-,15
674,H & R LANDSCAPING INC,-,15,15
961,J DOWNEND LANDSCAPING INC,15,-,15
5781,THE LANDSCAPE CENTER INC,15,-,15
6691,AVANT GARDENING INC,15,-,15
5582,C & K LAWN SERVICES,15,-,15
80,THOMAS CLIME LANDSCAPES INC,15,-,15
332,CLC FERTILIZATION & PEST CONTROL L,15,-,15
5640,QUIET VILLAGE LANDSCAPING CO,15,-,15
7465,MMC LAND MANAGEMENT,15,-,15
5279,BELLA INIZIO FARM LLC,15,-,15
1864,PAFFORD INC DBA LONGHORN LAWNS,15,-,15
5817,TRIPLE V CONCRETE CONSTRUCTION INC,15,-,15
5442,MENDEZ FARMS LLC,15,-,15
7414,DAVID S LANDSCAPE AND CONSTRUCTION,-,15,15
6530,DH HARRISON INC DBA SIGHTLINE,15,-,15
4691,CREATIVE STONE DESIGNS,-,15,15
6111,GROUND WORKS LAND DESIGN LLC,15,-,15
4686,AAAH PLASTERING & STUCCO INC,15,-,15
8127,STAR LANDSCAPE & ENGINEERING LLC,-,15,15
6734,PAULS LAWN & LANDSCAPE LLC,-,15,15
1858,USL OF CHARLESTON SC INC DBA US LA,15,-,15
911,FIGURE THE ODDS LLC,15,-,15
9381,WALNUT RIDGE LANDSCAPE & DESIGN IN,15,-,15
37,ZAMARRIPA BROS FRAMING INC,-,15,15
4463,ARTISTIC LANDSCAPING INC,15,-,15
7889,GREENSCAPES LANDSCAPE CO INC,15,-,15
8675,AMERISCAPE INC,15,-,15
7937,CUSTOM LAWN CARE & LANDSCAPING LLC,15,-,15
3308,B H LANDSCAPING INC DBA US LAWNS O,15,-,15
5544,RICES NURSERY & LANDSCAPING INC,15,-,15
3037,ROSSI LANDSCAPING INC,15,-,15
2798,ROYAL LANDSCAPE INC,15,-,15
3519,SANDRA LUCIA PEREZ DBA DANDY SOUVE,15,-,15
9871,GROUND PROS INC,15,-,15
4669,PRO LAWN SVC,15,-,15
4686,TRAIL CREEK NURSERY INC,15,-,15
4102,IROQUOIS ON THE BEACH HOTEL,-,15,15
3266,SALISBURY LAWN SERVICE,15,-,15
6291,TWIN PINES LANDSCAPING LLC,15,-,15
2073,SCHRODER CONCESSIONS,-,15,15
3863,HEINS VALLEY CREEK NURSERY,15,-,15
2817,KING CONSTRUCTION & OVERHEAD DOOR,15,-,15
5931,A FLORES CONSTRUCTION,15,-,15
6948,DOWCO ENTERPRISES INC,15,-,15
7908,M S LAWNCARE INC,15,-,15
4366,FUCHS LAWN & LANDSCAPING INC,15,-,15
9797,GREENSCAPE CONTRACTORS LLC,15,-,15
8235,WILBERS PAINTING LLC,15,-,15
1887,WELLINGTON TRAINING STABLES INC,15,-,15
6993,MONTES STONE PRODUCTS LLC,15,-,15
2924,GONZALEZ REBAR LLC,15,-,15
2904,KUT AND KILL INC,15,-,15
8664,R&J TRIPLE A LLC DBA THE GROUNDS G,15,-,15
3762,CHACON LANDSCAPING INC,15,-,15
5243,EL EXPRESO BUS COMPANY,15,-,15
1456,CHRIS WALDNER & SON S CONSTRUCTION,15,-,15
8306,ERICKSON FRAMING NV LLC,15,-,15
3863,A C CONSTRUCTION,-,15,15
343,THE FISH SHACK LLC DBA BOONES FISH,-,15,15
2096,JIMMIE ANDERTON,15,-,15
7244,COURSE CRAFTERS LLC,15,-,15
4180,LUGO CONTRACTING LLC,-,15,15
6379,A N MARTIN GRAIN SYSTEMS,15,-,15
5217,ALL STATE LANDSCAPE SERVICES LLC,-,15,15
677,RAMIREZ LANDSCAPING,15,-,15
281,AUTHENTIC GREEK FOOD CORP,15,-,15
6981,BUILDING COMPONENT SUPPLY INC,-,15,15
8964,STRATTON & BRATT LANDSCAPES LLC,-,15,15
2392,DELGADO BROTHERS GEN CONTRACTORS L,15,-,15
1669,ENGLISH TURN GOLF & COUNTRY CLUB,15,-,15
5688,OK WORLD OF SANDSTONE LLC,15,-,15
1914,ROBERT CRONIN INC DBA C&R LANDSCAP,15,-,15
7744,CRIS RUIZ CARPENTER INC,15,-,15
4546,SZULS LANDSCAPES INC,15,-,15
1735,LA LAWNCARE LLC,-,15,15
1429,FAMILIA ARCO IRIS LLC,15,-,15
3726,GROWING SEASONS LLC,15,-,15
7835,VILLAGE CLEANERS LLC,15,-,15
173,MSM CONTRACTORS INC,-,15,15
652,A AND E DRYWALL LLC,-,15,15
8722,SOUTH FORTY LANDSCAPING INC,15,-,15
1068,HARTSOE PROPERTY SERVICES,15,-,15
5336,FIELDSTONE GOLF CLUB L P,15,-,15
6639,C W OBIER & SONS INC DBA PRIDE OF,15,-,15
7605,JERRY EPPS LANDSCAPE COMPANY INC,15,-,15
206,KJLC LANDSCAPE MANAGEMENT,15,-,15
4753,FRED ADAMS PAVING COMPANY,-,15,15
7927,FULCHERS POINT PRIDE SEAFOOD INC,15,-,15
3594,LANDMARK CONSTRUCTION CO INC,15,-,15
6965,MCMANUS FARMS INC,15,-,15
3693,THE COLLINS GROUP INC,15,-,15
1428,MAFFEI LANDSCAPE CONTRACTORS INC,15,-,15
2267,ERTT INC D/B/A TIMBERLINE TOURS,15,-,15
274,SUNBELT LANDSCAPE SERVICES INC,15,-,15
9307,GARBRO INC,15,-,15
875,OUTDOOR EXPRESSIONS LLC,15,-,15
782,FAIRPLAY GAMES INC,15,-,15
8474,PRATTS LAWN & LANDSCAPE INC,15,-,15
2433,B ORIGINAL FOODS LLC,15,-,15
4147,HARD CORE INC AR,15,-,15
4095,HOLBROOK ENTERPRISES INC DBA US LA,15,-,15
1245,REEL NEET LAWN SERVICE INC,15,-,15
7999,GOLDEN ANCHOR LLC DBA HARBORSIDE H,-,15,15
5433,SIERRA AT TAHOE SKI RESORT,15,-,15
670,MARION LANDSCAPING LLC,15,-,15
7208,HOT SPRINGS COUNTRY CLUB,15,-,15
7325,HERNANDEZ MESQUITE LANDSCAPE SVCS,-,15,15
83,CHEM SPRAY SOUTH INC,15,-,15
9022,SCAPES INC,15,-,15
4172,HUB CONSTRUCTION INC,15,-,15
1496,GREENTURF LANDSCAPING CO DBA GREEN,15,-,15
2582,JONESPLAN LLC,15,-,15
9440,TRUCK LANDSCAPING INC,-,15,15
1876,CARSON CONCRETE INC,15,-,15
3327,FIRST STAGE INC DBA WILSON IRRIGAT,15,-,15
8957,D&W PAINTING INC,15,-,15
9995,AUSTIN EAGLE MANAGEMENT SVCS LTD,-,15,15
3163,G & P CONTRACTORS INC,-,15,15
3087,TENDER LAWN CARE INC,15,-,15
3583,EUSKADIA INC,-,15,15
7622,ANGEL SAVANTES LEIJA & MARIA GUADA,15,-,15
7188,ALLDREDGE GARDENS LP,-,15,15
2727,TECH-SCAPE INC,15,-,15
5260,HOOVER LANDSCAPE INC,15,-,15
5045,DAY STAR LANDSCAPES INC,15,-,15
5492,ROCKWALL TURF & SPRINKLER INC,15,-,15
5617,JAMES LANDSCAPING INC,15,-,15
2608,GROUNDS MGT INC DBA TX PRIDE GMI,-,15,15
2823,PAMPERED LAWNS AUSTIN INC,15,-,15
2692,MILLENNIUM POOL SERVICE LLC,15,-,15
6319,AK ASTUDILLO INC DBA ABEL S LANDSC,15,-,15
8895,PARADISE MGMT LLC,15,-,15
5481,SIGNATURE POOL SERVICES LLC,-,15,15
6159,BCLS LLC,15,-,15
4406,TREES INC,15,-,15
4823,NAPP LANDSCAPE SVCS INC,15,-,15
1038,WHITTAKER LANDSCAPE SVCS INC,15,-,15
8194,B & M CONCRETE INC,15,-,15
3389,BEAR LAKE LANDSCAPE INC,15,-,15
1547,LANDSCAPE TECHNOLOGY GROUP INC,15,-,15
9761,METCO LANDSCAPE INC,15,-,15
8861,T BONE STONE INC,15,-,15
6727,APLIN MASONRY OF TELLURIDE INC,15,-,15
1027,BONNEVILLE QUARRIES,15,-,15
9347,REDLINE CONCRETE LLC,15,-,15
1033,KOOLRIVER ADVENTURE TOURS DBA WHIT,15,-,15
8102,MAYFLOWERS TREES LLC,15,-,15
781,COAST SEAFOOD CORPORATION,15,-,15
521,ISLAND COUNTRY CLUB,15,-,15
58,PRIDE OF VIRGINIA BAIT & OYSTER IN,15,-,15
645,W ELLERY KELLUM INC,15,-,15
96,GULF COAST OYSTERS INC,15,-,15
8042,GREEN MOUNTAIN BOAT LINES LTD DBA,14,-,14
6881,DEX BY TERRA INC,14,-,14
7175,MAPLE LEAF ASSOCIATES INC,14,-,14
7925,ARTHUR J EDWARDS MASON CONTRACTING,14,-,14
4372,HESPERUS CORP DBA PROCORM,14,-,14
4442,JAMES H LYNCH LANDSCAPING SVCS INC,14,-,14
9033,EQUIS ENDEAVOR INC,14,-,14
4049,STEVE KLESARIS RACING STABLE,14,-,14
1000,CONTEMPORARY STONESCAPES LTD,14,-,14
1930,PONZANI NURSERIES LLC DBA PONZANI,14,-,14
2327,G&M LANDSCAPE SVCS LLC DBA J&M LAN,14,-,14
7153,DOUBLE A CONTRACTING LP,14,-,14
1605,LOPEZ PLASTERS LLC,-,14,14
229,US HOTELS NEW ENGLAND LLC,14,-,14
5015,HORSTMANN BROTHERS LLC,-,14,14
9833,TEJAS CLEARING LAND COMPANY INC,14,-,14
8727,CNBNC INC DBA PRECISION LAWNS,14,-,14
2005,USL OF GREENVILLE,14,-,14
4765,KDE EQUINE LLC,14,-,14
6317,INNOVATIVE DESIGN LLC,14,-,14
3824,RAINMAKER IRRIGATION INC,14,-,14
186,MINCIN LANDSCAPING & TREE SERVICE,14,-,14
7225,ARTISTIC LANDSCAPE CREATIONS DBA A,14,-,14
4498,JOHN FRIES LANDSCAPE INC,14,-,14
6744,AYALA PAINTING LLC,-,14,14
3062,GORDON STONE COMPANY LLC,14,-,14
3965,HERRON LANDSCAPE LLC,14,-,14
4428,PATINO LANDSCAPE GROUP LLC,14,-,14
1213,1 ALL SEASONS LAWN SERVICE LLC,-,14,14
2897,RED LION HOTEL & CONVENTION CENTER,14,-,14
6270,CHRISS IRRIGATION AND LANDSCAPE,14,-,14
7028,PACHECO CEMENT INC,14,-,14
2309,HILTON SAN ANTONIO HILL COUNTRY HO,14,-,14
8356,GREENLEAF LANDSCAPES INC,14,-,14
8969,THE HOENIGMAN LANDSCAPING CO LLC,14,-,14
5539,PETE DUE GOLFCLUB PDGC BRIDGEPORT,-,14,14
8553,MULBERRY CREEK GREENHOUSES INC DB,14,-,14
5169,CASTLE CONTRUCTION COMPANY,14,-,14
9092,BUYANSKY BROTHERS LANDSCAPING INC,14,-,14
4921,MURDICKS FUDGE COMPANY OF MASS INC,14,-,14
6823,HARBOUR VIEW INN LLC,-,14,14
256,OMNI TREE SVC INC,-,14,14
6854,BRANSON S BEST INC,-,14,14
3917,PINNACLE LAWN CARE INC,14,-,14
4902,PROFESSIONAL IRRIGATION SYSTEMS LL,14,-,14
4400,WHITE BUFFALO HOTEL,14,-,14
1374,GILL LANDSCAPE CONTRACTING INC,14,-,14
5018,DELLWOOD COUNTRY CLUB LLC,14,-,14
1041,LUIS LANDSCAPE LLC,-,14,14
9522,MAGEE RACING STABLE,14,-,14
5385,LYNN CHLEBORAD RACING,14,-,14
2289,SPEEDY PAVING LLC,-,14,14
331,VIZION CONSTRUCTION & LANDSCAPING,-,14,14
4070,MANOR VIEW FARM INC,14,-,14
8461,TDH LANDSCAPING LLC,14,-,14
6050,THE MORGAN LANDSCAPE GROUP INC,14,-,14
8862,PAMLICO POOL COMPANY INC,14,-,14
7573,DOGWOOD SERVICES INC,14,-,14
6493,R & J CONCESSIONS LLC,-,14,14
352,WYNDHAM VACATION RENTALS NA LLC DB,14,-,14
2689,WILSON & WILSON IRRIGATION INC,14,-,14
4794,REYES MARINE & INDUSTRIAL INC,-,14,14
4017,TURTLECREEK LANDSCAPE SERVICES INC,14,-,14
1871,C & T LAWNS LLC,-,14,14
6510,J&M POOL PLASTERING INC,14,-,14
6021,GREEN IMPRESSIONS LLC,14,-,14
2424,INDIVIDUAL EMPLOYER,14,-,14
4483,MIAMI HOSPITALITY MANAGEMENT LLC,14,-,14
6088,AMERICAN LANDSCAPE MAINTENANCE CO,14,-,14
1127,STUTZKE STONE,14,-,14
3751,JJ & SONS,14,-,14
449,LA LA ENTERPRISES LLC,14,-,14
8085,THE TWINEAGLES CLUB LLC DBA THE TW,14,-,14
4606,BRUMMETT CONCRETE,14,-,14
5667,GLENEAGLES COUNTRY CLUB INC,14,-,14
1448,GILBERTO TREJO,14,-,14
2818,TREETOPS ACQUISITION CO LLC,-,13,13
8121,TWENTY FOUR BROAD STREET,13,-,13
9681,TOP MAST RESORT INC,13,-,13
5563,AMERICAN TENT & TABLE INC,-,13,13
5678,SAL S LANDSCAPING CO,13,-,13
2832,WOOD ENT CO INC,13,-,13
8253,SILVER LEAF LAWN & LANDSCAPE INC,13,-,13
9976,BILL JOHNSTON LANDSCAPE COMPANY,13,-,13
6535,TJS OUTDOOR MAINTENANCE INC,-,13,13
9412,YORK LANDSCAPING LLC,13,-,13
6733,INNOVATIVE CONSTRUCTION GR OF N FL,-,13,13
3033,A G ROOFING CO INC,13,-,13
7316,ALFONSO & SON LANDSCAPING & LAWN S,-,13,13
9273,LANDRYS LAWN SVCS & LANDSCAPING LL,-,13,13
1911,THE RIGHT CUT LANDSCAPE SVCS INC,13,-,13
2149,THE PERFECT TOUCH LANDSCAPE CO,13,-,13
5707,SPRINGFIELD LAWN & LANDSCAPE LLC D,13,-,13
6839,MELTON S CONCESSIONS MELVIN MELTON,13,-,13
3061,RENA S FUDGE SHOPS INC DBA RYBA S,13,-,13
2064,LUCIA LANDSCAPING,-,13,13
5805,QUALITY LAWN & GARDEN INC,13,-,13
8027,TURFMASTERS,13,-,13
3850,GILLAM LAWN CARE & LANDSCAPING LLC,13,-,13
250,SEEL BROTHERS LANDSCAPING,13,-,13
8490,SOUTHEAST THOROUGHBRED RACING,13,-,13
3723,YELLOWSTONE XCAPE DBA MAPLE FALLS,13,-,13
1946,BM LANDSCAPE,-,13,13
5415,SCAPEWORX LANDSCAPING & DESIGN INC,13,-,13
1574,GOLDEN RULE CONTRACTORS LLC,13,-,13
9155,WORLD CONCRETE LLC,13,-,13
9195,QUINTANA S LUXURY LANDSCAPE,13,-,13
4840,SOUTHLAND LANDSCAPE CORPORATION,13,-,13
4936,STRATES FINE FOODS INC,D,D,13
7078,HERRINGSWELL STABLES,13,-,13
2123,ABSOLUTE LANDSCAPING INC,13,-,13
3431,DREAMSCAPES LAWN MAINTENANCE CO IN,-,13,13
4474,NATURES WAY INC,-,13,13
3016,NATURES IMAGE,13,-,13
5615,MILLER TIME MANUFACTURING LLC,-,13,13
5153,CENTENNIAL LANDSCAPING INC,13,-,13
7347,RERY LLC DBA AFFORDABLE LAWN SPRIN,13,-,13
9585,LANDSCAPE PROFESSIONALS OF TEXAS,13,-,13
2994,SUPERIOR HOME BUILDERS INC,-,13,13
3128,SIMPLIFIED LANDSCAPING LLC,13,-,13
2438,CLEAN CUT LLC,13,-,13
8515,BAKED IN TELLURIDE,-,13,13
8086,LIQUI GREEN INC,13,-,13
8228,ADCOCK CONCRETE INC,-,13,13
8042,GULF COAST CRAWFISHING SUPPLY,13,-,13
1863,TROPHY PRODUCE & REPACK LLC,13,-,13
3419,MOON RIVER FOODS INC,13,-,13
4002,ASPEN SKIING CO,12,-,12
1728,RIVERSIDE HOTEL AND MOTEL,12,-,12
4781,GALYNS GALLEY,12,-,12
7330,FEDERAL JACKS BREW PUB INC,-,12,12
7286,LAFAYETTE OLD ORCHARD LLC,-,12,12
2250,THE GRAND HOTEL LLC,12,-,12
2713,YOUNGS LOBSTER POUND,12,-,12
4740,AQUA TURF IRRIGATION SYSTEMS LLC,12,-,12
3969,TWO PARS INC DBA UNION BLUFF HOTEL,12,-,12
8192,PLEASANT BAY VILLAGE MOTOR CT INC,12,-,12
404,BERNIERS MARKET DBA CRONIGS MARKET,12,-,12
2940,512 MAIN STREET INC,12,-,12
5294,PEAT AND SON CORP,12,-,12
6185,OGDENS DESIGN AND PLANTINGS INC,12,-,12
436,DOMENICK BULFAMANTE AND SONS INC,12,-,12
8368,LAKEVIEW LAWN & LANDSCAPE INC,12,-,12
3346,MIJELUM LLC,12,-,12
8251,GREENWORKS LANDSCAPING LP,12,-,12
4194,PARAGON LANDSCAPING CORPORATION,12,-,12
1786,DIVERSIFIED LANDSCAPE MGT LLC,12,-,12
3724,VERASTEGUI BROTHERS MASONRY,12,-,12
5174,HANS DALGAARD PAINTING,-,12,12
6123,CURIEL M REBAR STEEL LLC,12,-,12
285,M&M LANDSCAPING LLC,12,-,12
3637,WALKER LANDSCAPING INC,12,-,12
1327,BAXTER LANDSCAPE CONTRACTING LLC,12,-,12
3939,TEMPLE LAWN AND LANDSCAPE LLC,12,-,12
4121,SOUTHERN GUNITE LP,12,-,12
1075,EARTHSCAPES INC,12,-,12
61,A & S LANDSCAPING INC,12,-,12
7675,MULLIN LANDSCAPE ASSOCIATES LLC,12,-,12
9177,ATLANTIC PLANTS,12,-,12
9040,GOOD-N-TUFF LAWN & LANDSCAPING INC,12,-,12
8851,SIMONFAY LANDSCAPE SERVICES INC,12,-,12
9981,SEQUOIA LANDSCAPE & MAINTENANCE IN,12,-,12
5103,HEWVEC LLC DBA HEWSON LANDSCAPE IN,12,-,12
9338,JOSEPH F MARTIN JR DBA MARTINS LAW,12,-,12
596,JOHN B WARD & CO INC,12,-,12
2635,STENGER LANDSCAPING INC,12,-,12
5872,ELEGANT LAWN CARE INC,-,12,12
6570,LONGUE VUE CLUB,-,12,12
6461,LAWN MAINTENANCE SERVICE CO INC,12,-,12
7076,SUPERIOR INC DBA BROWN DESIGN GR &,12,-,12
6915,JUSTIN BEALLS LANDSCAPE SVCS LLC,12,-,12
9619,TURN KEY FOUNDATIONS INC,12,-,12
6625,SUNSET MAINTENANCE LLC,-,12,12
3335,MAIN STREET LANDSCAPE COMPANY,12,-,12
3746,EXCELL LAWN CARE INC,12,-,12
8576,TURPIN LANDSCAPING INC,12,-,12
5516,MID AMERICAN CARNIVAL LLC,12,-,12
7094,GPS NURSERIES LLC DBA GUIDO PICCIN,12,-,12
6428,LOTUS LAWNCARE & SVCS LLC,12,-,12
8946,GRIZZLY BEAR LAWN CARE,12,-,12
1096,GREENSCAPE LANDCARE INC,12,-,12
1620,OUTDOORS UNLIMITED INC,12,-,12
8250,PARADISE LAWN AND MAINTENANCE INC,12,-,12
5676,MILLS CONCRETE LLC,12,-,12
2038,TEPE ENVIRONMENTAL SVCS LTD,12,-,12
4494,MARTIN J GRUNDER JR INC DBA GRUNDE,12,-,12
6050,ENVIRONMENTAL MGMT SVCS INC DBA EM,12,-,12
1900,LOMAS LAND MAINTENANCE LLC,12,-,12
4025,PINERY CHRISTMAS TREES INC DBA PUM,-,12,12
1534,REGENCY ROOFING COMPANIES INC,12,-,12
3624,S A M LANDSCAPING INC,12,-,12
7899,JESSOP AMUSEMENTS INC,-,12,12
4644,COSME CASTILLO DBA FIRST CHOICE LA,12,-,12
9737,DARROW INC DBA DARROW S FAMILY RES,-,12,12
1380,WILCOX BROTHERS IRRIGATION CO,12,-,12
8495,DONATO LANDSCAPE LLC DBA DONATO LA,12,-,12
5317,HARBOR BAR INC,12,-,12
8487,LITTFIN LUMBER CO,12,-,12
3614,HOFFMAN & MCNAMARA CO,12,-,12
2654,DUININCK INC DBA DUININCK GOLF,12,-,12
7266,LUTSEN RESORT CO IND DBA LUTSEN RE,12,-,12
8088,BACHMAN S INC,12,-,12
1064,L&R SUBURBAN LANDSCAPING,12,-,12
1578,AMC NURSERY & LANDSCAPING INC,-,12,12
5649,SCHMOLL ENTERPRISES LLC D/B/A GRAN,-,12,12
8314,A J CONSTRUCTION INC,12,-,12
3779,VCNA PRESTIGE GUNITE INC,12,-,12
6735,CLEAN CUT LAWN CARE & PRESSURE WAS,12,-,12
8396,UNIQUE CLIPS LLC,12,-,12
8827,HIGHLANDS LANDSCAPE & FENCING LLC,-,12,12
3868,BEADLES FLORAL AND NURSERY,12,-,12
3767,PERSONA INC,12,-,12
3605,SEQUOIA LANDSCAPE SERVICES LLC,12,-,12
7005,ALL STAR SPORT ZONE INC DBA PLZ SU,12,-,12
2161,COUSINS LAWN SERVICE LLC,12,-,12
3403,ENVIRONMENTAL DESIGNERS LAWN & LAN,12,-,12
5864,DAKOTA OUTDOORSCAPES INC,12,-,12
5288,D&J VENTURES INC DBA QUALITY LANDS,12,-,12
6683,936 HOSPITALITY LLC DBA QUALITY IN,12,-,12
1046,GTS FORESTRY INC,-,12,12
944,ACTIVE LANDSCAPE MANAGEMENT LLC,12,-,12
6622,ADVANCED LANDSCAPE MANAGEMENT LLC,12,-,12
7389,TEXAS WINTERSCAPES & LIGHTING INC,12,-,12
1353,DNB CONSULTING LLC,12,-,12
8627,JCS CAROLINA CHIPPING SERVICE LLC,12,-,12
2918,NS & SONS LLC,12,-,12
857,TERRYS LANDSCAPE LLC,12,-,12
1569,RODRIGUEZ MASONRY & ASSOC LLC,12,-,12
4366,CUSTOM LAWN & LANDSCAPE INC,12,-,12
9200,GUTHRIE INDUSTRIAL COATING INC,12,-,12
8477,DTM TRUCKING INC,12,-,12
669,WM H RADFORD LANDSCAPE CONTRACTORS,12,-,12
6626,MJM LANDSCAPING INC,12,-,12
7873,ERENLER INC,12,-,12
9813,WOODFIELD LANDSCAPING INC,12,-,12
2268,LAKE PACKING COMPANY,-,12,12
6941,HAYMORE LANDSCAPING INC,12,-,12
8626,R & W MARINE CONSTRUCTION INC,12,-,12
9555,TWO RIVERS COUNTRY CLUB,12,-,12
7224,CLARK LANDSCAPING & LAWN CARE INC,12,-,12
6016,ENVIROGROW LAWN & LANDSCAPING INC,12,-,12
7061,EVERGREEN LAWN MAINTENANCE INC,12,-,12
7707,COLLETON RIVER PLANTATION CLUB INC,12,-,12
1922,THE FORD PLANTATION CLUB INC,12,-,12
3689,NEW LEAF LANDSCAPE SVCS,12,-,12
6514,DON STEWART STABLES INC,12,-,12
7033,SCHWABS ENTERPRISES OF NW FLORIDA,-,12,12
