,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 170,039 "," 104,723 "," 8,713 "," 393,474 "," 89,754 "," 29,661 "," 4,917 "," 670,262 "," 259,793 "," 134,384 "," 13,630 "," 1,063,736 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
,Dallas ,DAL," 2,656 "," 2,660 ", 183 ," 8,115 ", D , 13 , D , 259 ," 2,657 "," 2,673 ", 184 ," 8,374 ",
,El Paso ,ELP, 719 , 593 , 15 ," 1,674 ", D , D , D , 55 , 720 , 595 , 16 ," 1,729 ",
,Harlingen ,HLG, 810 , 769 , 26 ," 1,830 ", D , D , D , 37 , 811 , 774 , 29 ," 1,867 ",
,Houston ,HOU," 2,973 "," 1,836 ", 193 ," 11,356 ", D , 37 , D , 276 ," 2,976 "," 1,873 ", 196 ," 11,632 ",
,San Antonio ,SNA," 1,451 ", 540 , 14 ," 3,920 ", D , D , D , 88 ," 1,455 ", 545 , 16 ," 4,008 ",
Utah,,,,,,,,,,,,,,,
,Salt Lake City ,SLC, 598 , 423 , 22 ," 1,165 ", D , D , D , 19 , 599 , 429 , 23 ," 1,184 ",
Vermont,,,,,,,,,,,,,,,
,St. Albans ,STA, 36 , 75 , D , 110 , - , D , D , D , 36 , 77 , 12 , 113 ,
Virginia,,,,,,,,,,,,,,,
,Norfolk ,NOR, 315 , 201 , 68 ," 1,037 ", - , 13 , - , 23 , 315 , 214 , 68 ," 1,060 ",
Washington,,,,,,,,,,,,,,,
,Seattle ,SEA, 985 , 622 , 48 ," 2,606 ", D , D , D , D , 988 , 630 , 52 ," 2,615 ",
,Spokane ,SPO, 69 , 97 , D , 151 , - , - , - , - , 69 , 97 , D , 151 ,
,Yakima,YAK, 141 , 166 , D , 213 , - , D , - , D , 141 , 170 , D , 216 ,
Wisconsin,,,,,,,,,,,,,,,
,Milwaukee ,MIL, - , - , - , - , - , - , - , - , - , - , - , - ,
Field Office by Territory6,,,,,,,,,,,,,,,
Guam,,,322,183,21,855,-,D,D,28,322,187,26,883,
,Hagatna,AGA,,,,,,,,,,,,,
U.S. Virgin Islands,,,662,1150,479,6197,87378,26669,3299,521329,88040,27819,3778,527526,
,Charlotte Amalie,CHA," 63,988 "," 25,919 "," 2,380 "," 130,607 "," 1,359 ", 602 , 311 ," 3,323 "," 65,347 "," 26,521 "," 2,691 "," 133,930 ",
,Christiansted ,CHR," 14,497 "," 7,536 ", 729 ," 26,095 ", 306 , 272 , 26 , 421 ," 14,803 "," 7,808 ", 755 ," 26,516 ",
Puerto Rico,,,22234,19682,761,28265,586,538,554,843,22820,20220,1315,29108,
,San Juan ,SAJ, D , 190 , 332 ," 6,339 ", D , 419 , 507 ," 139,998 ", D , 609 , 839 ," 146,337 ",
Service Center,,,,,,,,,,,,,,,
