,,,,,,,
Petitioner Location,,,"Petitions by State, Company, and FEIN (Last 4 Digits)",,,,
,,,Petitions by U.S. Employer and U.S. Agent1,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,
,9922,TAYLOR ORCHARDS MGMT INC,4,4,,,
Washington Total,,,76,77,,10,
West Virginia,7759,TAYLOR FARMS LLC,1,1,,,
,8829,GEORGE S ORR & SONS INC,,1,,,
West Virginia Total,,,1,2,,,
Wisconsin,2321,FERGUSON S MORNINGSIDE ORCHARD LLC,1,1,,,
,3017,APPLELAND LLC,1,1,,,
,3643,BONDE ACRES DAIRY,,,,1,
,8425,SACIA ORCHARDS INC,2,2,,,
Wisconsin Total,,,4,4,,1,
Wyoming,0006,PHILLIPS FARMS LLC,1,,,1,
,0081,ROBBEN CATTLE CO LLC,1,1,,,
,,ROBBEN CATTLE COMPANY LLC,1,1,,,
,0127,SALMON FALLS SHEEP PARTNERSHIP,1,1,,,
,0363,SOUTHERN NEVADA WATER AUTHORITY,3,3,,,
,0429,FORREST ARTHUR RANCH,2,3,,,
,0491,GLEAVE LIVESTOCK,2,2,,,
,0806,ROCHE LIVESTOCK,1,1,,,
,0867,MARLON BINGHAM,3,3,,,
,1366,TERRELL FARMS LLC,1,1,,,
,1573,LAZY VC KELLY RANCH INC,2,2,,,
,1973,TITMUS FAMILY FARMS,2,2,,,
,2308,BB & H RANCH CO,1,1,,,
,2414,TRES PAVOS REALES LIVESTOCK LLC,1,1,,,
,2490,MIDLAND LIVESTOCK COMPANY,,,,2,
,2520,HE SHEEP CO,1,2,,,
,2681,CHILD RANCH LLC / JON C CHILD,3,3,,,
,3061,(blank),1,1,,,
,3206,ESPELAND RANCHES,1,1,,,
,3375,THEOS SWALLOW FORK RANCH INC,2,2,,,
,3477,(blank),2,2,,,
,3846,CARL WHITWORTH,1,1,,,
,,DAVENPORT RANCHES,2,2,,,
,3989,(blank),1,1,,,
,4532,ARDIA LLC,1,1,,,
,4968,20 MILE SHEEP LLC,2,2,,,
,5021,O W RANCH,3,3,,,
,5055,MARTIN AUZA SHEEP CO,1,1,,,
,5158,ACE LAND & LIVESTOCK,2,2,,,
,5493,CARGILE CATTLE COMPANY LLC,,1,,,
,5567,HAROLD SELMAN INC,,,,1,
,,MOUNTAIN PLAINS AGRICULTURAL SRV,,,,1,
,,MOUNTAIN PLAINS AGRICULTURAL SVC,,,,2,
,,MOUNTAIN PLAINS AGRICULTURAL SVCS,,,,1,
,5790,LAVA LAKE LAND & LIVESTOCK LLC,1,1,,,
,5816,ALLEN RANCH/WORTH ALLEN,1,1,,,
,5817,CUBIBURU LIVESTOCK,1,,1,,
,6006,HAYRE HARTER RANCHES LLC / H H RAN,1,1,,,
,6305,JOHN ESPIL SHEEP CO INC,1,1,,,
,6314,ARGYLES RANCH INC,1,1,,,
,6413,LEHFELDT LAND & LIVESTOCK,2,2,,,
,6499,HENRY C VOGLER DBA NEED MORE SHEEP,1,1,,,
,7151,FOLEY SHEARING COMPANY,,,,2,
,7181,ESTILL RANCHES SHEEP CO LLC,1,1,,,
,7217,ALLEN RANCHES LLC,2,2,,,
,7245,HAROLD SELMAN INC,2,2,,,
,7429,ALEX T DUFURRENA DBA DUFURRENA SHE,1,1,,,
,7462,ANDERSON BROTHERS LIVESTOCK,1,1,,,
,7675,(blank),1,1,,,
,7926,DIAMOND SHEEP CO,2,2,,,
,7959,BRADLEY KEITH GUYMON,1,1,,,
,8058,MAGNUS CAPITAL INC,1,1,,,
,8115,KAUPO RANCH LTD,2,2,,,
,8167,FOX FIRE FARMS / RICHARD PARRY,1,1,,,
,8238,RICHARD SMITH RANCH,1,1,,,
,8253,TWO BAR SHEEP CO LLC,2,2,,,
,8336,(blank),,1,,,
,8561,ALLEN LIVESTOCK,2,2,,,
,8635,EPPERSON RANCHES,1,1,,,
,8657,BLUE TENT FARMS,1,1,,,
,8689,GILES W PRITCHARD GORDON FARMING L,,,,1,
,8691,ANSOLABEHERE SHEEP CO,2,2,,,
,8816,(blank),2,2,,,
,8887,BAR TWO BAR RANCH LLC,3,3,,,
,8919,COBB CATTLE CO,1,1,,,
,8945,JOHN PEROULIS & SONS,,,,2,
,9035,MANTEROLA SHEEP CO INC,1,1,,,
,9138,JRB LLC,1,1,,,
,9212,NICK THEOS FAMILY LLC,3,3,,,
,9439,L RICHINS & SONS LC,1,1,,,
,9447,PUZZLEWOOD RANCH CO,2,2,,,
,9488,SECREST SHEEP & CATTLE,,,,1,
,9717,STEPHEN OSGUTHORPE RANCH DBA RED P,2,2,,,
,9800,JOSEPH AUZA SHEEP CO,3,2,,,
,9975,LARSON LIVESTOCK INC,,,,1,
Wyoming Total,,,97,98,1,15,
NOT REPORTED,,AFFLECK FARMS INC,,,,1,
,,GRANT FARMS CUSTOM HARVESTING &,,,,1,
,,R&K DOYLE HARVESTING LTD,,,,2,
,,RAES HARVESTING,,,,1,
,1393,GAGNON FARMS LTD,,,,1,
,3796,SUPERIOR HARVESTING,,,,1,
,7611,BRAY DAN HARVESTING INC,1,1,,,
,7823,PAYANT AND KINDT HARVESTING,,,,1,
NOT REPORTED Total,,,1,1,,8,
,,,,,,,
"If no data is present in a cell, this "" - "" represents zero.",,,,,,,
"1  An H-2A is an alien coming temporarily to perform agricultural labor or services of a temporary or seasonal nature filed by a U.S. employer, its U.S. agent or an association of U.S. agricultural producers named as a joint employer on the temporary labor certification.",,,,,,,
agent or an association of U.S. agricultural producers named as a joint employer on the temporary labor certification.,,,,,,,
2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,
3  The number of petitions approved during the reporting period.,,,,,,,
"4  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,
5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,
6  Represents the state that the company or U.S. agent is located in and not necessarily where the work will be performed. ,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,
               3) A petition may be made for 1 or more workers.,,,,,,,
               4) We are only providing the last 4 numbers of the FEIN to protect PII.,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, C3 Consolidated via Standard Management Analysis and Reporting Tool (SMART), October 2017.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
