,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2013 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,723,648 "," 1,285,376 "," 100,649 "," 2,844,803 "," 1,495,598 "," 1,563,914 "," 114,616 "," 2,764,101 "," 1,919,703 "," 1,519,803 "," 119,929 "," 3,433,216 "," 1,759,072 "," 1,810,250 "," 133,830 "," 2,977,138 "," 6,898,021 "," 6,179,343 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-929,Petitions for Family of U Nonimmigrants, 72 , 14 , D , 160 , 89 , 72 , D , 167 , 117 , 67 , D , 209 , 119 , 59 , 11 , 261 , 397 , 212 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizenship and Nationality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-300,Declaration of Intent, 11 , 16 , D , 24 , 14 , 18 , D , 23 , 11 , 11 , -   , 20 , D , D , -   , 21 , 43 , 54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-336,Requests for Hearing, 985 , 681 , 400 ," 2,611 "," 1,000 ", 612 , 433 ," 2,639 "," 1,273 ", 752 , 614 ," 2,739 "," 1,148 ", 687 , 571 ," 2,740 "," 4,406 "," 2,732 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-400,Military Naturalization," 1,965 "," 1,828 ", 190 ," 2,599 "," 2,349 "," 1,802 ", 217 ," 2,812 "," 3,117 "," 2,184 ", 190 ," 3,913 "," 2,754 "," 2,600 ", 226 ," 4,074 "," 10,185 "," 8,414 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-400,Non-Military Naturalization," 169,519 "," 181,180 "," 17,352 "," 364,824 "," 202,885 "," 188,621 "," 21,889 "," 353,891 "," 210,676 "," 193,632 "," 22,160 "," 350,494 "," 179,358 "," 205,569 "," 20,888 "," 307,965 "," 762,438 "," 769,002 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-470,Preserve Residence for Naturalization, 62 , 46 , 32 , 236 , 70 , 59 , 48 , 232 , 97 , 36 , 21 , 308 , 125 , 18 , 16 , 408 , 354 , 159 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-565,Replace Naturalization/Citizenship Certificates," 5,942 "," 6,720 ", 633 ," 9,498 "," 7,389 "," 6,623 ", 935 ," 9,554 "," 7,183 "," 7,731 "," 1,281 "," 8,014 "," 6,690 "," 6,932 ", 821 ," 7,154 "," 27,204 "," 28,006 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-600/600K,Recognition of Citizenship Applications," 15,295 "," 14,962 "," 1,319 "," 32,093 "," 17,480 "," 14,381 "," 1,329 "," 33,252 "," 18,474 "," 16,908 "," 1,702 "," 33,539 "," 15,633 "," 16,294 "," 1,679 "," 32,015 "," 66,882 "," 62,545 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N-644,Posthumous Naturalization, D , D , -   , -   , D , D , -   , -   , -   , -   , -   , -   , D , D , -   , -   , D , D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
